,scenario,popt,p90,method,qubo,num_layers
161,16,0.028000000000000008,0.06550000000000004,TAE,no_slack_qubo,20
162,16,0.02862500000000001,0.06550000000000004,TAE,no_slack_qubo,20
163,16,0.03300000000000001,0.07187500000000005,TAE,no_slack_qubo,20
164,16,0.029250000000000005,0.07025000000000005,TAE,no_slack_qubo,20
165,16,0.027750000000000007,0.06600000000000004,TAE,no_slack_qubo,20
166,16,0.028875000000000012,0.06775000000000005,TAE,no_slack_qubo,20
167,16,0.029500000000000012,0.06987500000000005,TAE,no_slack_qubo,20
168,16,0.030625000000000013,0.06712500000000005,TAE,no_slack_qubo,20
169,16,0.029875000000000013,0.07375000000000004,TAE,no_slack_qubo,20
170,17,0.0016250000000000001,0.047750000000000035,TAE,no_slack_qubo,20
171,17,0.0025,0.047625000000000035,TAE,no_slack_qubo,20
172,17,0.0022500000000000003,0.045500000000000033,TAE,no_slack_qubo,20
173,17,0.002,0.04950000000000004,TAE,no_slack_qubo,20
174,17,0.002375,0.05075000000000004,TAE,no_slack_qubo,20
175,17,0.0025,0.053375000000000034,TAE,no_slack_qubo,20
176,17,0.002375,0.05087500000000004,TAE,no_slack_qubo,20
177,17,0.0015,0.05112500000000004,TAE,no_slack_qubo,20
178,17,0.0015,0.05262500000000003,TAE,no_slack_qubo,20
179,17,0.0015,0.047125000000000035,TAE,no_slack_qubo,20
180,18,0.0007777777777777778,0.009777777777777781,TAE,no_slack_qubo,20
181,18,0.0005555555555555556,0.00955555555555556,TAE,no_slack_qubo,20
182,18,0.001,0.009888888888888897,TAE,no_slack_qubo,20
183,18,0.0005555555555555556,0.008111111111111118,TAE,no_slack_qubo,20
184,18,0.0005555555555555556,0.009888888888888893,TAE,no_slack_qubo,20
185,18,0.001,0.009333333333333336,TAE,no_slack_qubo,20
186,18,0.0007777777777777778,0.008444444444444449,TAE,no_slack_qubo,20
187,18,0.0003333333333333334,0.008333333333333338,TAE,no_slack_qubo,20
188,18,0.0006666666666666668,0.01044444444444445,TAE,no_slack_qubo,20
189,18,0.00044444444444444447,0.00866666666666667,TAE,no_slack_qubo,20
190,19,0.0003333333333333333,0.0052222222222222245,TAE,no_slack_qubo,20
191,19,0.0,0.004333333333333334,TAE,no_slack_qubo,20
192,19,0.00022222222222222223,0.005333333333333335,TAE,no_slack_qubo,20
193,19,0.00011111111111111112,0.004000000000000001,TAE,no_slack_qubo,20
194,19,0.00022222222222222223,0.0052222222222222245,TAE,no_slack_qubo,20
195,19,0.0003333333333333333,0.004222222222222223,TAE,no_slack_qubo,20
196,19,0.0,0.0058888888888888906,TAE,no_slack_qubo,20
197,19,0.0,0.006111111111111112,TAE,no_slack_qubo,20
198,19,0.00011111111111111112,0.005777777777777779,TAE,no_slack_qubo,20
199,19,0.00022222222222222223,0.004333333333333334,TAE,no_slack_qubo,20
