,scenario,popt,p90,method,qubo,num_layers
135,13,0.010125000000000006,0.1461249999999994,TAE,standard_qubo,20
136,13,0.010125000000000006,0.13737499999999955,TAE,standard_qubo,20
137,13,0.009125000000000005,0.14337499999999934,TAE,standard_qubo,20
138,13,0.010000000000000005,0.13649999999999968,TAE,standard_qubo,20
139,13,0.010875000000000008,0.14462499999999934,TAE,standard_qubo,20
140,14,0.00999999999999999,0.00999999999999999,TAE,standard_qubo,20
141,14,0.011099999999999992,0.011099999999999992,TAE,standard_qubo,20
142,14,0.010699999999999998,0.010699999999999998,TAE,standard_qubo,20
143,14,0.010699999999999998,0.010699999999999998,TAE,standard_qubo,20
144,14,0.011399999999999993,0.011399999999999993,TAE,standard_qubo,20
145,14,0.011299999999999992,0.011299999999999992,TAE,standard_qubo,20
146,14,0.012199999999999987,0.012199999999999987,TAE,standard_qubo,20
147,14,0.011599999999999994,0.011599999999999994,TAE,standard_qubo,20
148,14,0.010699999999999998,0.010699999999999998,TAE,standard_qubo,20
149,14,0.011799999999999986,0.011799999999999986,TAE,standard_qubo,20
150,15,0.020499999999999977,0.2681999999999981,TAE,standard_qubo,20
151,15,0.020799999999999996,0.26039999999999847,TAE,standard_qubo,20
152,15,0.019499999999999976,0.2649999999999976,TAE,standard_qubo,20
153,15,0.019799999999999984,0.2616999999999981,TAE,standard_qubo,20
154,15,0.019499999999999983,0.2684999999999976,TAE,standard_qubo,20
155,15,0.02019999999999999,0.26499999999999735,TAE,standard_qubo,20
156,15,0.020599999999999986,0.2700999999999982,TAE,standard_qubo,20
157,15,0.01949999999999999,0.26679999999999754,TAE,standard_qubo,20
158,15,0.017899999999999985,0.2694999999999976,TAE,standard_qubo,20
159,15,0.018799999999999983,0.26239999999999764,TAE,standard_qubo,20
160,16,0.01716666666666667,0.035500000000000045,TAE,standard_qubo,20
161,16,0.015333333333333301,0.03350000000000011,TAE,standard_qubo,20
162,16,0.016333333333333318,0.03408333333333343,TAE,standard_qubo,20
163,16,0.014166666666666645,0.03183333333333349,TAE,standard_qubo,20
164,16,0.01566666666666665,0.032333333333333464,TAE,standard_qubo,20
165,16,0.015166666666666651,0.035000000000000066,TAE,standard_qubo,20
166,16,0.01641666666666666,0.03525000000000006,TAE,standard_qubo,20
167,16,0.018833333333333348,0.03658333333333338,TAE,standard_qubo,20
168,16,0.016833333333333318,0.03600000000000007,TAE,standard_qubo,20
169,16,0.018250000000000006,0.035750000000000066,TAE,standard_qubo,20
170,17,0.0005,0.018750000000000017,TAE,standard_qubo,20
171,17,0.0010833333333333335,0.024250000000000087,TAE,standard_qubo,20
172,17,0.0005833333333333334,0.018500000000000016,TAE,standard_qubo,20
173,17,0.0003333333333333333,0.01925000000000002,TAE,standard_qubo,20
174,17,0.0005,0.02033333333333336,TAE,standard_qubo,20
175,17,0.0008333333333333335,0.020833333333333367,TAE,standard_qubo,20
176,17,0.0008333333333333333,0.01991666666666669,TAE,standard_qubo,20
177,17,0.0010000000000000002,0.02166666666666672,TAE,standard_qubo,20
178,17,0.0006666666666666668,0.018500000000000006,TAE,standard_qubo,20
179,17,0.0005833333333333334,0.021333333333333378,TAE,standard_qubo,20
180,18,0.00046153846153846153,0.005230769230769228,TAE,standard_qubo,20
181,18,0.0003076923076923077,0.0037692307692307673,TAE,standard_qubo,20
182,18,0.00046153846153846153,0.004230769230769229,TAE,standard_qubo,20
183,18,0.0002307692307692308,0.004615384615384613,TAE,standard_qubo,20
184,18,0.0003846153846153846,0.0036923076923076905,TAE,standard_qubo,20
185,18,0.0002307692307692308,0.004153846153846152,TAE,standard_qubo,20
186,18,0.0003846153846153846,0.0036153846153846136,TAE,standard_qubo,20
187,18,0.00046153846153846153,0.004538461538461536,TAE,standard_qubo,20
188,18,0.0006153846153846154,0.0044615384615384595,TAE,standard_qubo,20
189,18,0.00015384615384615385,0.0031538461538461525,TAE,standard_qubo,20
190,19,0.0,0.0026923076923076913,TAE,standard_qubo,20
191,19,0.0002307692307692308,0.0021538461538461533,TAE,standard_qubo,20
192,19,0.0,0.0029999999999999988,TAE,standard_qubo,20
193,19,0.0,0.0024615384615384608,TAE,standard_qubo,20
194,19,0.0,0.002307692307692307,TAE,standard_qubo,20
195,19,7.692307692307693e-05,0.00223076923076923,TAE,standard_qubo,20
196,19,7.692307692307693e-05,0.0026923076923076913,TAE,standard_qubo,20
197,19,0.00015384615384615385,0.0030769230769230756,TAE,standard_qubo,20
198,19,0.00015384615384615385,0.0026153846153846145,TAE,standard_qubo,20
199,19,0.0,0.003846153846153844,TAE,standard_qubo,20
