,pipeline_name,method,id,kind,binary_variables,vars,constraints,sv_size,search_space
231,default,QUBO,Comb11_0_down_quadratic.lp,Comb11_0,74,74,19,1.298074214633707e+33,1.888946593147858e+22
232,i2i+oneh,IF+XY,Comb9_2_up_quadratic.lp,Comb9_2,63,63,18,1331000.0,1331000.0
233,i2i,IF,Comb9_2_up_quadratic.lp,Comb9_2,63,63,18,9.223372036854776e+18,9.223372036854776e+18
234,oneh,XY,Comb9_2_up_quadratic.lp,Comb9_2,63,63,18,9.1465623535616e+16,1331000.0
235,default,QUBO,Comb9_2_up_quadratic.lp,Comb9_2,63,63,18,6.338253001141147e+29,9.223372036854776e+18
236,i2i+oneh,IF+XY,Comb9_0_increasing.lp,Comb9_0,51,51,16,373248.0,373248.0
237,i2i,IF,Comb9_0_increasing.lp,Comb9_0,51,51,16,2251799813685248.0,2251799813685248.0
238,oneh,XY,Comb9_0_increasing.lp,Comb9_0,51,51,16,400771988324352.0,373248.0
239,default,QUBO,Comb9_0_increasing.lp,Comb9_0,51,51,16,2.4178516392292583e+24,2251799813685248.0
240,i2i+oneh,IF+XY,Comb10_2_decreasing.lp,Comb10_2,68,68,19,2108304.0,2108304.0
241,i2i,IF,Comb10_2_decreasing.lp,Comb10_2,68,68,19,2.9514790517935283e+20,2.9514790517935283e+20
242,oneh,XY,Comb10_2_decreasing.lp,Comb10_2,68,68,19,1.159052381443326e+18,2108304.0
243,default,QUBO,Comb10_2_decreasing.lp,Comb10_2,68,68,19,1.6225927682921336e+32,2.9514790517935283e+20
244,i2i+oneh,IF+XY,Comb5_2_down_quadratic.lp,Comb5_2,19,19,11,252.0,252.0
245,i2i,IF,Comb5_2_down_quadratic.lp,Comb5_2,19,19,11,524288.0,524288.0
246,oneh,XY,Comb5_2_down_quadratic.lp,Comb5_2,19,19,11,4227858432.0,252.0
247,default,QUBO,Comb5_2_down_quadratic.lp,Comb5_2,19,19,11,8796093022208.0,524288.0
248,i2i+oneh,IF+XY,Comb2_2_decreasing.lp,Comb2_2,11,11,9,30.0,30.0
249,i2i,IF,Comb2_2_decreasing.lp,Comb2_2,11,11,9,2048.0,2048.0
250,oneh,XY,Comb2_2_decreasing.lp,Comb2_2,11,11,9,7864320.0,30.0
251,default,QUBO,Comb2_2_decreasing.lp,Comb2_2,11,11,9,536870912.0,2048.0
252,i2i+oneh,IF+XY,Comb4_0_up_quadratic.lp,Comb4_0,14,14,9,90.0,90.0
253,i2i,IF,Comb4_0_up_quadratic.lp,Comb4_0,14,14,9,16384.0,16384.0
254,oneh,XY,Comb4_0_up_quadratic.lp,Comb4_0,14,14,9,23592960.0,90.0
255,default,QUBO,Comb4_0_up_quadratic.lp,Comb4_0,14,14,9,4294967296.0,16384.0
256,i2i+oneh,IF+XY,Comb4_2_increasing.lp,Comb4_2,20,20,11,280.0,280.0
257,i2i,IF,Comb4_2_increasing.lp,Comb4_2,20,20,11,1048576.0,1048576.0
258,oneh,XY,Comb4_2_increasing.lp,Comb4_2,20,20,11,4697620480.0,280.0
259,default,QUBO,Comb4_2_increasing.lp,Comb4_2,20,20,11,17592186044416.0,1048576.0
260,i2i+oneh,IF+XY,Comb4_2_down_quadratic.lp,Comb4_2,20,20,11,280.0,280.0
261,i2i,IF,Comb4_2_down_quadratic.lp,Comb4_2,20,20,11,1048576.0,1048576.0
262,oneh,XY,Comb4_2_down_quadratic.lp,Comb4_2,20,20,11,4697620480.0,280.0
263,default,QUBO,Comb4_2_down_quadratic.lp,Comb4_2,20,20,11,17592186044416.0,1048576.0
264,i2i+oneh,IF+XY,Comb9_2_down_quadratic.lp,Comb9_2,63,63,18,1331000.0,1331000.0
265,i2i,IF,Comb9_2_down_quadratic.lp,Comb9_2,63,63,18,9.223372036854776e+18,9.223372036854776e+18
